Filename	DirectLink	FileLink
B21420718	https://drive.google.com/uc?id=1-mkFD48_6m3jvNAsqbTw1BPjmRTE-WFU&export=download	https://drive.google.com/file/d/1-mkFD48_6m3jvNAsqbTw1BPjmRTE-WFU/edit
B21420694	https://drive.google.com/uc?id=1eq7Qm5gM1Pj2qeXQRxhXtXLPfjU7qH4T&export=download	https://drive.google.com/file/d/1eq7Qm5gM1Pj2qeXQRxhXtXLPfjU7qH4T/edit
B21420691	https://drive.google.com/uc?id=1MBv33aQ5hy5xodc0H4pbSBSns1gRlAVC&export=download	https://drive.google.com/file/d/1MBv33aQ5hy5xodc0H4pbSBSns1gRlAVC/edit
B21420664	https://drive.google.com/uc?id=1qOTTwzfohclAv02MrsbcjtRGEE2L5zU-&export=download	https://drive.google.com/file/d/1qOTTwzfohclAv02MrsbcjtRGEE2L5zU-/edit
B21420659	https://drive.google.com/uc?id=1V_cTDH0E8g2NnuvvwrmL2-JOVJy3RptL&export=download	https://drive.google.com/file/d/1V_cTDH0E8g2NnuvvwrmL2-JOVJy3RptL/edit
B21420653	https://drive.google.com/uc?id=1-f_yAlcj5wseSQGI1BFwm7iEgYmwIpDB&export=download	https://drive.google.com/file/d/1-f_yAlcj5wseSQGI1BFwm7iEgYmwIpDB/edit
B21420635	https://drive.google.com/uc?id=1ENA01Cpb9gMiZmlkKwWNKR86HSmcI16X&export=download	https://drive.google.com/file/d/1ENA01Cpb9gMiZmlkKwWNKR86HSmcI16X/edit
B21420622	https://drive.google.com/uc?id=1M_651tV6qJjGcyezokYHXatnYhLZHe4z&export=download	https://drive.google.com/file/d/1M_651tV6qJjGcyezokYHXatnYhLZHe4z/edit
B21420591	https://drive.google.com/uc?id=1O8Xwe6JsXFhEBUL9K1UZgjNJw5nKj-mx&export=download	https://drive.google.com/file/d/1O8Xwe6JsXFhEBUL9K1UZgjNJw5nKj-mx/edit
B21420588	https://drive.google.com/uc?id=1TnEQjVzAgf2zFr_CVMcR6i-0RmIwwYxO&export=download	https://drive.google.com/file/d/1TnEQjVzAgf2zFr_CVMcR6i-0RmIwwYxO/edit
B21420579	https://drive.google.com/uc?id=1frvnHqq71vCZkMYSfCEw1bi6ShjIJQwu&export=download	https://drive.google.com/file/d/1frvnHqq71vCZkMYSfCEw1bi6ShjIJQwu/edit
B21420562	https://drive.google.com/uc?id=15YdIBW_VsEVQH6eLWPzzQQ57R-Fbeu8L&export=download	https://drive.google.com/file/d/15YdIBW_VsEVQH6eLWPzzQQ57R-Fbeu8L/edit
B21420540	https://drive.google.com/uc?id=1ATvdlQmmNgWG37Lxpcwv4WGINJ6Kx3jr&export=download	https://drive.google.com/file/d/1ATvdlQmmNgWG37Lxpcwv4WGINJ6Kx3jr/edit
B21420512	https://drive.google.com/uc?id=1cYn4siuN_2-1Pep5PzdkL6XACgP0NKbz&export=download	https://drive.google.com/file/d/1cYn4siuN_2-1Pep5PzdkL6XACgP0NKbz/edit
B21420509	https://drive.google.com/uc?id=1Cg76PFGrlfCIgWd4fIDg79lXimV6IAhF&export=download	https://drive.google.com/file/d/1Cg76PFGrlfCIgWd4fIDg79lXimV6IAhF/edit
B21420488	https://drive.google.com/uc?id=1wv-Ejk0Fs-2IFhg3d73HOJfsZiyct_go&export=download	https://drive.google.com/file/d/1wv-Ejk0Fs-2IFhg3d73HOJfsZiyct_go/edit
B21420486	https://drive.google.com/uc?id=115n0b8UOanML4Ef5pBJfcYptqfB2dEnQ&export=download	https://drive.google.com/file/d/115n0b8UOanML4Ef5pBJfcYptqfB2dEnQ/edit
B21420481	https://drive.google.com/uc?id=17Y4YtD9jb7TBQKks7saHmaWYm0nSDci2&export=download	https://drive.google.com/file/d/17Y4YtD9jb7TBQKks7saHmaWYm0nSDci2/edit
B21420478	https://drive.google.com/uc?id=1KM2dJ05ishTm4IemdkCPXGfUmek_kXMf&export=download	https://drive.google.com/file/d/1KM2dJ05ishTm4IemdkCPXGfUmek_kXMf/edit
B21420471	https://drive.google.com/uc?id=1YZMIAdbCBQHO2QfI_6g_5Dq76oCmeiwT&export=download	https://drive.google.com/file/d/1YZMIAdbCBQHO2QfI_6g_5Dq76oCmeiwT/edit
B21420465	https://drive.google.com/uc?id=1GVKAvPzaSFGVXss5ArnSy4FmX85JNc_2&export=download	https://drive.google.com/file/d/1GVKAvPzaSFGVXss5ArnSy4FmX85JNc_2/edit
B21420463	https://drive.google.com/uc?id=1OjjOB-ZgdMcpEllZZVHy5PPqwtKHNlCo&export=download	https://drive.google.com/file/d/1OjjOB-ZgdMcpEllZZVHy5PPqwtKHNlCo/edit
B21420444	https://drive.google.com/uc?id=1vGD2LcZRDQ2ymaTuUt_1gWf16RphyJQs&export=download	https://drive.google.com/file/d/1vGD2LcZRDQ2ymaTuUt_1gWf16RphyJQs/edit
B21420441	https://drive.google.com/uc?id=1FHVj0MpfWuLSwnTjTQBt2KhZcCFSXG7Y&export=download	https://drive.google.com/file/d/1FHVj0MpfWuLSwnTjTQBt2KhZcCFSXG7Y/edit
